product_id,sku,product_name,category,supplier,brand,cost_price,sales_price,active
P0001,DEMO-HOM-0001,Aero Organizer 45,Home Essentials,Demo Supply One,Fintoro,10.25,16.15,True
P0002,DEMO-KIT-0002,Urban Prep Bowl 64,Kitchen,Fictional Trade Co,Elvara,5.92,9.38,True
P0003,DEMO-OFF-0003,Prime Cable Dock 63,Office Gear,Demo Supply One,Brixo,11.99,25.3,True
P0004,DEMO-TRA-0004,Flex Bottle Sleeve 29,Travel,Demo Supply One,Auralen,11.32,25.19,True
P0005,DEMO-PER-0005,Fresh Brush Stand 87,Personal Care,Northbridge Demo Ltd,Elvara,9.08,14.92,True
P0006,DEMO-PET-0006,Bright Travel Bowl 80,Pet Supplies,Sample Goods Hub,Elvara,8.8,19.17,True
P0007,DEMO-FIT-0007,Aero Grip Band 94,Fitness,Demo Supply One,Brixo,9.61,17.54,True
P0008,DEMO-ELE-0008,Flex Adapter Pouch 68,Electronics Accessories,Sample Goods Hub,Cavaro,32.52,57.24,True
P0009,DEMO-HOM-0009,Bright Cleaning Kit 87,Home Essentials,Fictional Trade Co,Brixo,19.42,37.49,True
P0010,DEMO-KIT-0010,Prime Lunch Jar 38,Kitchen,Demo Supply One,Brixo,24.85,56.13,True
P0011,DEMO-OFF-0011,Metro Notebook Set 44,Office Gear,Central Test Supply,Fintoro,6.05,14.63,True
P0012,DEMO-TRA-0012,Metro Luggage Tag 92,Travel,Fictional Trade Co,Fintoro,19.6,34.33,True
P0013,DEMO-PER-0013,Urban Brush Stand 64,Personal Care,Fictional Trade Co,Brixo,23.65,47.29,True
P0014,DEMO-PET-0014,Aero Snack Tin 24,Pet Supplies,Northbridge Demo Ltd,Elvara,5.79,9.9,False
P0015,DEMO-FIT-0015,Urban Hydration Clip 69,Fitness,Demo Supply One,Fintoro,18.34,45.35,True
P0016,DEMO-ELE-0016,Fresh Tablet Sleeve 24,Electronics Accessories,Demo Supply One,Fintoro,17.97,28.47,True
P0017,DEMO-HOM-0017,Prime Cleaning Kit 32,Home Essentials,Sample Goods Hub,Fintoro,16.43,25.4,True
P0018,DEMO-KIT-0018,Clear Spice Rack 57,Kitchen,Central Test Supply,Auralen,27.11,53.83,True
P0019,DEMO-OFF-0019,Aero Task Lamp 24,Office Gear,Sample Goods Hub,Brixo,39.27,93.65,False
P0020,DEMO-TRA-0020,Bright Packing Cube 72,Travel,Central Test Supply,Brixo,31.74,77.1,True
P0021,DEMO-PER-0021,Prime Towel Wrap 31,Personal Care,Northbridge Demo Ltd,Brixo,9.1,22.5,True
P0022,DEMO-PET-0022,Flex Toy Basket 61,Pet Supplies,Northbridge Demo Ltd,Elvara,23.9,52.58,True
P0023,DEMO-FIT-0023,Compact Yoga Strap 18,Fitness,Fictional Trade Co,Elvara,12.8,26.99,True
P0024,DEMO-ELE-0024,Aero Cable Set 39,Electronics Accessories,Sample Goods Hub,Auralen,8.36,12.35,True
P0025,DEMO-HOM-0025,Nord Cleaning Kit 37,Home Essentials,Central Test Supply,Elvara,17.17,36.07,True
